interaction_id,customer_id,agent_id,interaction_datetime,interaction_duration_seconds,call_direction,call_channel,call_status,customer_satisfaction_score,speech_sentiment_score,speech_transcript,topics_detected,issue_resolved,follow_up_required,follow_up_due_date,language,customer_feedback_text,agent_notes
INT00011,CUST00010,AGT0006,2024-01-04T11:32:08,549,inbound,phone,completed,4.6,0.75,"I'd like to open a new savings account, please.","account_opening,product_info",true,false,,en,"Very helpful, thank you.",Explained savings account options. Customer chose to open a new account. No follow-up needed.
INT00012,CUST00011,AGT0009,2024-01-05T12:20:22,287,inbound,chat,completed,4.3,0.67,How do I set up alerts for my balance?,"alerts,online_banking",true,false,,en,"Easy to set up, thanks.",Guided the customer through setting up balance alerts. No issues reported.
INT00013,CUST00012,AGT0003,2024-01-06T11:15:19,34,outbound,phone,abandoned,,,,,false,false,,en,,"No answer from customer, call ended."
INT00014,CUST00013,AGT0010,2024-01-07T10:00:00,188,inbound,chat,completed,3.8,0.51,Can you help me check my loan application status?,"loan_status,application",true,false,,en,Fast chat support.,Provided loan application status. No further action needed.
INT00015,CUST00014,AGT0011,2024-01-07T14:33:27,552,outbound,video,completed,4.9,0.97,"Good afternoon, we are offering a loyalty bonus to valued clients.","customer_outreach,loyalty",true,false,,en,"Loved the offer, thank you.",Discussed loyalty program offers. Customer was very pleased.
INT00016,CUST00015,AGT0012,2024-01-08T09:28:34,26,inbound,phone,dropped,,,,,false,false,,fr,,No connection; call dropped after greeting.
INT00017,CUST00016,AGT0013,2024-01-08T12:45:00,466,inbound,phone,completed,4.2,0.7,Can you explain the charges on my statement?,"statement_inquiry,fees",true,false,,en,Agent clarified everything.,Reviewed statement charges with customer. All questions answered.
INT00018,CUST00017,AGT0014,2024-01-09T11:20:40,320,inbound,chat,completed,3.5,0.59,I want to update my mobile number.,"profile_update,contact_info",true,false,,es,Buen servicio.,Assisted customer with contact information update.
INT00019,CUST00018,AGT0007,2024-01-09T13:30:29,419,outbound,video,completed,4,0.52,We wanted to inform you about new savings options.,"customer_outreach,product_info",true,false,,en,Thank you for letting me know.,Provided details on new savings products. Customer was receptive.
INT00020,CUST00019,AGT0015,2024-01-10T10:20:10,41,inbound,phone,dropped,,,,,false,false,,en,,"No response after greeting, call terminated."
INT00021,CUST00020,AGT0003,2024-01-10T15:14:15,870,outbound,phone,transferred,0.9,-0.74,"I need to dispute a transaction, can you help?","dispute,escalation",false,true,2024-01-13,en,Waiting for follow-up.,Call required escalation to dispute team. Follow-up scheduled.
INT00022,CUST00021,AGT0016,2024-01-11T09:40:49,314,inbound,phone,completed,3.7,0.54,How do I set up direct deposit?,"direct_deposit,account_info",true,false,,en,"All clear, thanks.",Explained direct deposit setup process. No follow-up required.
INT00023,CUST00022,AGT0017,2024-01-12T10:35:13,123,inbound,chat,completed,4,0.58,Can I get a copy of my last credit card statement?,"statement_request,credit_card",true,false,,en,Quick response.,Provided requested statement via secure link.
INT00024,CUST00023,AGT0018,2024-01-13T14:20:41,390,outbound,video,completed,4.4,0.85,We have an exclusive offer for your account.,"customer_outreach,offer",true,false,,fr,J'apprécie l'offre.,Customer was receptive to the promotional offer.
INT00025,CUST00024,AGT0019,2024-01-14T12:44:59,28,inbound,phone,abandoned,0,,,,false,false,,en,,"No customer response, call ended."
INT00026,CUST00025,AGT0020,2024-01-14T16:53:10,583,inbound,phone,completed,4.4,0.85,I want to change my PIN code.,"pin_change,security",true,false,,en,Quick and secure service.,Walked customer through PIN change process.
INT00027,CUST00026,AGT0021,2024-01-15T09:11:33,390,inbound,chat,completed,4.1,0.66,Is there a way to pause my credit card?,"credit_card,pause_card",true,false,,en,Very helpful.,Explained how to temporarily disable credit card. Customer satisfied.
INT00028,CUST00027,AGT0022,2024-01-15T13:29:50,32,outbound,phone,dropped,,,,,false,false,,es,,Outbound call not completed.
INT00029,CUST00028,AGT0023,2024-01-16T16:55:15,803,outbound,video,completed,3.9,0.51,We'd like to inform you about our new credit products.,"customer_outreach,credit_card",true,false,,en,Interesting offers.,Explained new credit card options. Customer will consider.
INT00030,CUST00015,AGT0012,2024-01-17T14:44:22,601,inbound,phone,completed,4.7,0.93,I have a question about my recent deposit.,"deposit_inquiry,account_info",true,false,,en,Quickly sorted out.,Clarified recent deposit details for customer.
INT00031,CUST00029,AGT0024,2024-01-17T17:05:01,480,inbound,chat,completed,3.6,0.45,I want to set up a travel notice.,"travel_notice,security",true,false,,en,Easy process.,Assisted customer in setting up travel notification.
INT00032,CUST00030,AGT0025,2024-01-18T10:12:22,19,inbound,phone,abandoned,,,,,false,false,,en,,Call abandoned immediately.
INT00033,CUST00031,AGT0017,2024-01-18T14:10:45,1544,inbound,phone,transferred,1,-0.64,I want to close my account due to multiple issues.,"complaint,account_closure,escalation",false,true,2024-01-23,en,Waiting for resolution.,Account closure request escalated. Follow-up scheduled.
INT00034,CUST00032,AGT0026,2024-01-19T10:50:50,257,inbound,chat,completed,3.7,0.54,Can I get information about your mortgage rates?,"mortgage,product_info",true,false,,en,Thank you for the details.,Provided current mortgage rate information.
INT00035,CUST00033,AGT0027,2024-01-19T13:07:07,605,outbound,phone,completed,4.3,0.88,We wanted to inform you of a new interest rate promotion.,"customer_outreach,promotion",true,false,,es,Gracias por la información.,Explained latest promotion. Customer interested.
INT00036,CUST00034,AGT0028,2024-01-20T11:11:11,58,inbound,phone,dropped,,,,,false,false,,en,,Customer disconnected before agent could speak.
INT00037,CUST00035,AGT0029,2024-01-21T14:44:44,477,inbound,chat,completed,3.9,0.46,I want to update my mailing address.,"profile_update,contact_info",true,false,,en,Thanks for your help.,Updated mailing address for customer.
INT00038,CUST00036,AGT0030,2024-01-22T10:10:10,28,inbound,phone,abandoned,,-0.88,,,false,false,,en,,Call abandoned before agent could answer.
INT00039,CUST00037,AGT0031,2024-01-22T13:21:17,307,inbound,chat,completed,3.8,0.57,Can you tell me my current balance?,"balance_inquiry,account_info",true,false,,en,Fast and accurate.,Provided current balance as requested.
INT00040,CUST00038,AGT0032,2024-01-22T17:55:55,1107,inbound,phone,transferred,2.2,-0.46,I have a complaint about your online banking platform.,"complaint,online_banking,escalation",false,true,2024-01-25,en,Issue not resolved.,Escalated complaint about online banking usability.
INT00041,CUST00039,AGT0033,2024-01-23T10:15:20,234,outbound,phone,completed,3.6,0.42,I wanted to discuss your investment options.,"customer_outreach,investment",true,false,,en,Good information.,Shared details about investment products.
INT00042,CUST00040,AGT0011,2024-01-24T09:22:45,28,inbound,phone,dropped,,,,,false,false,,fr,,No response after greeting.
INT00043,CUST00041,AGT0015,2024-01-24T15:10:05,404,inbound,phone,completed,3.9,0.55,I want to check the status of my loan application.,"loan_status,application",true,false,,en,Thanks for the update.,Confirmed loan status for the customer.
INT00044,CUST00042,AGT0034,2024-01-25T10:30:30,27,outbound,phone,abandoned,,,,,false,false,,en,,"No answer, call ended."
INT00045,CUST00043,AGT0035,2024-01-25T13:14:20,385,inbound,chat,completed,4.5,0.88,Can I update my address online?,"profile_update,online_banking",true,false,,en,Very easy process.,Assisted with online address update.
INT00046,CUST00044,AGT0036,2024-01-26T10:20:20,321,outbound,video,completed,4.1,0.67,We are inviting you to our new financial seminar.,"customer_outreach,seminar",true,false,,fr,Merci pour l'invitation.,Invited customer to upcoming financial seminar.
INT00047,CUST00045,AGT0037,2024-01-26T11:33:33,45,inbound,phone,dropped,,,,,false,false,,en,,Call disconnected after greeting.
INT00048,CUST00046,AGT0038,2024-01-27T10:10:10,432,inbound,chat,completed,4,0.61,Can I get help with enrolling in e-statements?,"enrollment,e_statement",true,false,,en,Very helpful.,Assisted customer with e-statement enrollment.
INT00049,CUST00047,AGT0024,2024-01-27T16:26:26,209,inbound,phone,completed,3.6,0.44,How do I check pending transactions?,"transactions,pending",true,false,,en,Agent helped me understand.,Explained how to view pending transactions.
INT00050,CUST00048,AGT0039,2024-01-28T11:55:55,19,outbound,phone,abandoned,,,,,false,false,,en,,"No answer, outbound call ended."
INT20001,CUST00001,AGT1001,2024-03-12T14:23:45,387,inbound,chat,completed,4.1,0.68,"Hello, I would like to check my recent transactions.","balance_inquiry,transaction_history",true,false,,en,Thank you for the quick response.,Customer inquired about transactions. Provided statement details and answered all questions.
INT20002,CUST00002,AGT1002,2024-03-12T09:15:30,24,outbound,phone,abandoned,,,,,false,false,,en,,"Outbound call not connected, customer did not answer."
INT20003,CUST00003,AGT1003,2024-03-13T16:40:01,275,inbound,phone,completed,4.7,0.92,"Hi, I forgot my password and need a reset.",password_reset,true,false,,en,"Very helpful, thanks!",Guided the customer through password reset. Confirmed access restored.
INT20004,CUST00004,AGT1004,2024-03-14T11:04:18,54,inbound,phone,dropped,0,,,,false,false,,es,,Call dropped before agent could assist.
INT20005,CUST00005,AGT1005,2024-03-15T08:22:54,423,outbound,video,completed,4.4,0.74,"Good morning, we are reaching out to discuss your new credit card benefits.","customer_outreach,loyalty",true,false,,fr,Merci pour l'information.,Explained new card features and loyalty points. Customer was pleased.
INT20006,CUST00006,AGT1006,2024-03-15T21:30:15,32,inbound,phone,abandoned,,,,,false,false,,en,,Customer disconnected before speaking.
INT20007,CUST00007,AGT1003,2024-03-16T13:07:45,801,inbound,phone,completed,4.9,0.97,Thank you for taking the time to help me with my statement request.,statement_request,true,false,,en,Excellent service as always.,Assisted with statement request. Customer happy with resolution.
INT20008,CUST00002,AGT1002,2024-03-17T10:55:12,127,inbound,chat,completed,3.8,0.61,I need help setting up an online banking profile.,online_banking,true,false,,en,"Setup was fast, thank you.",Helped customer register for online banking and reviewed key features.
INT20009,CUST00008,AGT1007,2024-03-17T19:25:03,18,outbound,phone,dropped,0,,,,false,false,,en,,Call dropped before connection.
INT20010,CUST00009,AGT1008,2024-03-18T15:48:39,552,inbound,chat,completed,4.3,0.77,Can you help me activate my new debit card?,card_activation,true,false,,es,"Servicio rápido, gracias.",Guided customer through debit card activation steps.
INT20011,CUST00010,AGT1009,2024-03-19T09:10:07,614,outbound,video,completed,4.6,0.82,"Hello, we wanted to let you know about our latest savings offers.","customer_outreach,offers",true,false,,en,The offers were interesting.,Discussed new savings offers. Customer was receptive to information.
INT20012,CUST00011,AGT1010,2024-03-19T17:22:16,49,inbound,phone,dropped,0,,,,false,false,,en,,Customer dropped call while waiting.
INT20013,CUST00012,AGT1011,2024-03-20T08:17:31,829,outbound,phone,transferred,1.8,-0.42,I'm not happy with the account fees. I'd like to speak to a manager.,"complaint,escalation,account_fees",false,true,2024-03-24,en,,Escalated complaint about account fees. Manager follow-up required.
INT20014,CUST00013,AGT1012,2024-03-20T19:36:59,212,inbound,chat,completed,3.7,0.54,Can you help me update my address?,profile_update,true,false,,en,Address updated quickly.,Updated customer's address per request and verified profile.
INT20015,CUST00014,AGT1005,2024-03-21T13:02:44,501,inbound,phone,completed,4.2,0.73,I am unable to access my online banking account.,"account_access,online_banking",true,false,,es,Gracias por la ayuda.,Resolved login issue; provided steps for future reference.
INT20016,CUST00006,AGT1001,2024-03-22T10:11:59,36,outbound,phone,abandoned,,,,,false,false,,en,,"No answer, call was not completed."
INT20017,CUST00015,AGT1013,2024-03-22T18:48:27,97,inbound,chat,completed,3.9,0.62,How do I set up automatic payments?,"auto_payment,account_management",true,false,,fr,Merci beaucoup.,Explained auto payment setup and confirmed enrollment.
INT20018,CUST00016,AGT1014,2024-03-23T09:59:12,144,inbound,phone,completed,3.6,0.58,I'd like to know how to apply for a car loan.,"loan_inquiry,application",true,false,,en,"Good information, thanks.",Discussed loan application steps and documentation required.
INT20019,CUST00017,AGT1015,2024-03-23T17:37:21,260,outbound,video,completed,4.5,0.83,We are inviting you to participate in our loyalty program.,"customer_outreach,loyalty",true,false,,fr,Content de participer.,Explained loyalty program details. Customer accepted invitation.
INT20020,CUST00018,AGT1016,2024-03-24T11:25:08,46,inbound,phone,dropped,0,,,,false,false,,en,,Call dropped before agent could assist.
INT20021,CUST00019,AGT1002,2024-03-24T13:57:41,387,inbound,chat,completed,4,0.67,Can you help me get a copy of my last statement?,statement_request,true,false,,en,"Got my statement, thank you.",Provided digital statement and confirmed delivery.
INT20022,CUST00020,AGT1017,2024-03-25T10:32:14,776,outbound,phone,transferred,2.1,-0.59,I want to escalate my complaint about a fraudulent charge.,"fraud,escalation,complaint",false,true,2024-03-29,en,,Transferred call to fraud investigation team for resolution.
INT20023,CUST00021,AGT1018,2024-03-25T18:23:44,402,inbound,phone,completed,4.1,0.65,I need to update my phone number on file.,profile_update,true,false,,en,Fast and easy update.,Phone number updated and confirmed with customer.
INT20024,CUST00022,AGT1019,2024-03-26T08:38:12,37,outbound,phone,abandoned,,,,,false,false,,en,,"No answer, call not connected."
INT20025,CUST00023,AGT1004,2024-03-27T15:59:01,811,inbound,video,completed,4.8,0.91,Thank you for explaining the new mobile features.,"mobile_banking,features",true,false,,fr,"Très utile, merci.",Reviewed new app features with customer. Positive feedback received.
INT20026,CUST00024,AGT1020,2024-03-27T19:04:44,73,inbound,chat,completed,3.5,0.52,How do I change my email address?,"profile_update,email_update",true,false,,en,Thanks for the help.,Helped customer update email and saved changes in profile.
INT20027,CUST00025,AGT1021,2024-03-28T14:41:18,883,outbound,phone,transferred,1.3,-0.77,I'm having ongoing issues with my account. Please escalate.,"complaint,escalation,account_issues",false,true,2024-04-02,en,,Escalated long-standing account issue. Scheduled manager callback.
INT20028,CUST00026,AGT1022,2024-03-28T16:53:29,297,inbound,phone,completed,3.6,0.59,Can I get help with setting up bill pay?,"bill_pay,account_management",true,false,,en,"Bill pay set up, thank you.",Guided customer through bill pay enrollment and confirmed success.
INT20029,CUST00027,AGT1001,2024-03-29T10:19:22,59,inbound,phone,dropped,0,,,,false,false,,fr,,Call dropped within the first minute.
INT20030,CUST00028,AGT1023,2024-03-29T14:51:38,927,outbound,video,completed,4.7,0.94,We are excited to invite you to our premium customer event.,"customer_outreach,event_invitation",true,false,,en,Looking forward to the event.,Invited customer to exclusive event. RSVP received.
INT20031,CUST00029,AGT1024,2024-03-30T12:08:56,45,outbound,phone,abandoned,,,,,false,false,,es,,"No contact, customer did not answer."
INT20032,CUST00030,AGT1025,2024-03-31T18:21:42,211,inbound,chat,completed,3.8,0.63,Can I check the status of my loan application?,"loan_inquiry,application_status",true,false,,en,Loan status was clear.,Provided loan application status and next steps.
INT20033,CUST00031,AGT1026,2024-04-01T09:45:11,739,outbound,phone,transferred,2.3,-0.34,I want to dispute a recent transaction. Please transfer me.,"transaction_dispute,escalation",false,true,2024-04-05,en,,Dispute escalated to investigations. Follow-up scheduled.
INT20034,CUST00032,AGT1027,2024-04-02T16:22:53,61,inbound,phone,dropped,0,,,,false,false,,en,,Call dropped before customer spoke.
INT20035,CUST00033,AGT1028,2024-04-03T08:15:22,159,inbound,chat,completed,4.2,0.74,How do I change my PIN?,"profile_update,pin_change",true,false,,en,PIN change was easy.,Walked customer through PIN change process.
INT20036,CUST00034,AGT1029,2024-04-03T15:20:17,117,inbound,phone,completed,3.7,0.55,I want to check my account balance.,balance_inquiry,true,false,,en,Quick response.,Provided account balance and confirmed customer satisfaction.
INT20037,CUST00035,AGT1030,2024-04-04T11:14:53,24,outbound,phone,abandoned,,,,,false,false,,fr,,"No answer, call terminated quickly."
INT20038,CUST00036,AGT1031,2024-04-05T09:56:29,102,inbound,chat,completed,3.7,0.52,How can I update my mailing address?,"profile_update,address_change",true,false,,en,Address updated easily.,Supported customer with address change. Verified update.
INT20039,CUST00037,AGT1032,2024-04-05T17:01:13,77,inbound,phone,dropped,0,,,,false,false,,en,,Customer disconnected after short wait.
INT20040,CUST00038,AGT1033,2024-04-06T08:40:49,312,inbound,chat,completed,4.5,0.91,Can I get help enrolling in mobile banking?,"mobile_banking,enrollment",true,false,,es,Fácil y rápido.,Assisted with mobile banking enrollment. Customer satisfied.
INT20041,CUST00039,AGT1034,2024-04-06T17:35:17,178,inbound,phone,completed,3.8,0.59,I'd like to set up a standing order for my rent.,"auto_payment,account_management",true,false,,en,Setup was simple.,Standing order created for rent payment.
INT20042,CUST00040,AGT1035,2024-04-07T12:33:05,918,outbound,video,completed,4.6,0.88,We wanted to thank you for being a loyal customer.,"customer_outreach,loyalty",true,false,,fr,Merci pour votre appel.,Loyalty outreach call. Customer was appreciative.
INT20043,CUST00041,AGT1036,2024-04-07T19:47:18,62,inbound,phone,dropped,0,,,,false,false,,en,,Customer hung up after short wait.
INT20044,CUST00042,AGT1037,2024-04-08T10:10:37,218,inbound,chat,completed,3.5,0.51,What is the status of my recent application?,application_status,true,false,,en,Status was clear.,Provided application status update.
INT20045,CUST00043,AGT1038,2024-04-08T15:22:49,782,outbound,phone,transferred,1.6,-0.62,I'm not satisfied with my investment returns.,"investment,escalation,complaint",false,true,2024-04-12,en,,Investment complaint escalated. Arranged callback from advisor.
INT20046,CUST00044,AGT1039,2024-04-09T16:41:15,39,outbound,phone,abandoned,,,,,false,false,,en,,"No answer, call ended quickly."
INT20047,CUST00045,AGT1040,2024-04-10T08:17:40,134,inbound,chat,completed,3.9,0.68,How can I manage my account notifications?,"account_management,notifications",true,false,,en,Now I know how to manage alerts.,Explained notification settings and how to update preferences.
INT20048,CUST00046,AGT1041,2024-04-10T14:20:05,62,inbound,phone,dropped,0,,,,false,false,,en,,Call dropped while on hold.
INT20049,CUST00047,AGT1042,2024-04-11T11:15:28,502,inbound,chat,completed,4,0.75,Can you help me with my mortgage payment options?,"mortgage,payment_options",true,false,,es,"Muy útil, gracias.",Explained mortgage payment options and provided next steps.
INT20050,CUST00048,AGT1043,2024-04-11T17:49:51,68,inbound,phone,dropped,0,,,,false,false,,en,,Customer disconnected before speaking.
INT30001,CUST40002,AGT5001,2024-02-06T09:13:22,326,inbound,phone,completed,4.7,0.91,I wanted to update my phone number and check my last transactions.,"account_update,transaction_history",true,false,,en,"Very helpful, thank you.",Customer requested a contact update and recent transaction review. Issue resolved.
INT30002,CUST40005,AGT5003,2024-02-07T14:51:31,51,inbound,phone,dropped,,,,,false,false,,en,,Call dropped before customer could be verified.
INT30003,CUST40003,AGT5006,2024-02-07T12:19:20,148,inbound,chat,completed,3.9,0.44,Could you send me my account statement for January?,statement_request,true,false,,en,"Fast service, thanks.",Provided the requested account statement for customer.
INT30004,CUST40008,AGT5002,2024-02-08T16:03:09,67,outbound,phone,abandoned,0.2,-0.7,The customer did not answer the call.,,false,false,,en,,Outbound call was not answered and marked as abandoned.
INT30005,CUST40004,AGT5004,2024-02-09T10:38:16,505,inbound,phone,completed,4.5,0.81,I want to reset my password and need help accessing online banking.,"password_reset,online_banking",true,false,,en,Efficient support!,Assisted customer with password reset process for online banking.
INT30006,CUST40001,AGT5005,2024-02-10T15:25:48,379,outbound,video,completed,4.2,0.77,Just calling to see if you have any offers for loyal customers.,"customer_outreach,loyalty",true,false,,en,Glad to hear about the loyalty rewards.,Discussed loyalty rewards and new customer offers.
INT30007,CUST40006,AGT5010,2024-02-12T09:41:13,34,inbound,phone,dropped,,,,,false,false,,en,,Call dropped before agent greeting.
INT30008,CUST40009,AGT5007,2024-02-12T11:02:29,210,inbound,chat,completed,4.1,0.55,How can I activate my credit card?,card_activation,true,false,,en,Got what I needed.,Walked customer through card activation steps.
INT30009,CUST40010,AGT5011,2024-02-13T17:37:55,126,inbound,phone,completed,3.6,0.32,Can you help me update my mailing address?,address_change,true,false,,en,Process was easy.,Assisted customer with address update and confirmed changes.
INT30010,CUST40011,AGT5008,2024-02-13T08:44:09,53,outbound,phone,abandoned,0,-0.5,No answer from the customer.,,false,false,,en,,Outbound call was not answered.
INT30011,CUST40012,AGT5012,2024-02-14T10:19:36,187,inbound,chat,completed,4,0.65,I can't see my recent transactions on the app.,"app_support,transaction_history",true,false,,en,Resolved my issue.,Helped customer access recent transactions on mobile app.
INT30012,CUST40013,AGT5009,2024-02-14T13:31:54,441,outbound,phone,transferred,1.2,-0.68,I have a complaint about a recent transaction.,"complaint,escalation",false,true,2024-02-17,en,Still unresolved.,Escalated complaint to specialist team. Follow-up set.
INT30013,CUST40014,AGT5013,2024-02-15T18:17:45,342,inbound,phone,completed,4.8,0.97,I wanted to confirm my loan payment went through.,loan_payment,true,false,,en,Very polite agent.,Verified loan payment and confirmed with customer.
INT30014,CUST40005,AGT5014,2024-02-16T11:55:12,54,inbound,phone,dropped,,,,,false,false,,en,,Call dropped before customer provided details.
INT30015,CUST40015,AGT5015,2024-02-17T09:24:06,158,inbound,chat,completed,3.7,0.48,Can you tell me my current account balance?,balance_inquiry,true,false,,en,Quick response.,Shared current balance details with customer.
INT30016,CUST40016,AGT5016,2024-02-17T13:18:35,517,outbound,video,completed,4.4,0.83,Thank you for the information about the new savings options.,"customer_outreach,savings",true,false,,fr,Merci pour votre aide.,Provided detailed info on savings products. Customer was pleased.
INT30017,CUST40017,AGT5017,2024-02-18T16:40:49,41,inbound,phone,dropped,,,,,false,false,,es,,Llamada desconectada antes de iniciar conversación.
INT30018,CUST40018,AGT5018,2024-02-19T14:26:31,314,inbound,phone,completed,4.9,0.96,I want to close a savings account.,"account_closure,savings",true,false,,en,Smooth closure process.,Processed savings account closure and confirmed with customer.
INT30019,CUST40019,AGT5019,2024-02-19T15:31:14,660,outbound,phone,transferred,2,-0.5,I want to dispute a transaction and need further assistance.,"transaction_dispute,escalation",false,true,2024-02-22,en,,Customer dispute escalated; transferred to dispute resolution team.
INT30020,CUST40007,AGT5020,2024-02-20T11:09:51,88,inbound,chat,completed,2.9,0.22,I need help understanding my monthly statement.,statement_request,true,false,,en,Helpful support.,Clarified statement details for the customer.
INT30021,CUST40020,AGT5021,2024-02-21T10:22:36,44,outbound,phone,abandoned,,,,,false,false,,en,,"No response, call marked as abandoned."
INT30022,CUST40021,AGT5022,2024-02-21T13:05:18,232,inbound,phone,completed,4.6,0.88,I have a question about my credit card bill.,"credit_card,statement_request",true,false,,en,Thank you for clarifying.,Explained credit card billing and answered queries.
INT30023,CUST40022,AGT5023,2024-02-22T09:41:12,49,inbound,phone,dropped,,,,,false,false,,en,,Call disconnected before verification.
INT30024,CUST40023,AGT5024,2024-02-22T15:10:40,553,inbound,chat,completed,4.3,0.76,How do I set up automatic payments for my loan?,"loan_payment,auto_pay",true,false,,en,Setup was simple.,Guided customer through auto-pay enrollment.
INT30025,CUST40024,AGT5025,2024-02-23T14:07:17,587,outbound,video,completed,4.1,0.65,I appreciate the update on my mortgage application.,"mortgage_update,customer_outreach",true,false,,es,Gracias por la información.,Reviewed mortgage application status with customer.
INT30026,CUST40025,AGT5026,2024-02-24T11:13:48,437,outbound,phone,transferred,1,-0.72,I would like to escalate this complaint.,"complaint,escalation",false,true,2024-02-27,en,,Complaint escalated and ticket created for further review.
INT30027,CUST40026,AGT5027,2024-02-24T12:25:11,309,inbound,chat,completed,4.4,0.77,How do I find my routing number?,account_info,true,false,,en,Found what I needed.,Explained routing number location in account portal.
INT30028,CUST40027,AGT5028,2024-02-25T10:12:44,64,inbound,phone,dropped,,,,,false,false,,fr,,Appel interrompu avant l'identification du client.
INT30029,CUST40028,AGT5029,2024-02-25T15:27:31,480,outbound,phone,completed,4,0.7,I want more information about your investment products.,"investment_inquiry,customer_outreach",true,false,,en,Useful investment info.,Provided investment product details and answered questions.
INT30030,CUST40029,AGT5030,2024-02-26T14:40:22,145,inbound,chat,completed,3.5,0.39,Can you email me my transaction history?,transaction_history,true,false,,en,Got the email fast.,Emailed transaction history as requested.
INT30031,CUST40030,AGT5031,2024-02-26T16:13:55,287,outbound,video,completed,4.7,0.92,Thank you for the annual review and helpful advice.,"review,customer_outreach",true,false,,en,Appreciated the personalized review.,Conducted annual account review and discussed improvements.
INT30032,CUST40031,AGT5032,2024-02-27T10:39:11,42,outbound,phone,abandoned,,,,,false,false,,en,,"No answer, call ended."
INT30033,CUST40032,AGT5033,2024-02-27T13:32:29,121,inbound,phone,completed,3.8,0.58,How can I increase my credit card limit?,"credit_card,limit_increase",true,false,,en,Clear explanation.,Explained process for increasing credit card limit.
INT30034,CUST40033,AGT5034,2024-02-28T09:18:19,249,inbound,chat,completed,4.2,0.64,How do I check my account balance online?,"balance_inquiry,online_banking",true,false,,en,Easy to understand.,Guided customer on online balance checking.
INT30035,CUST40034,AGT5035,2024-03-01T14:48:12,563,outbound,phone,transferred,0.9,-0.83,I have repeated unauthorized charges.,"fraud_report,escalation",false,true,2024-03-05,en,,Reported fraud and transferred to security department.
INT30036,CUST40035,AGT5036,2024-03-02T13:05:11,217,inbound,phone,completed,4.3,0.83,Can you help me with international transfer fees?,"international_transfer,fees",true,false,,en,Answered all my questions.,Explained international transfer and related charges.
INT30037,CUST40036,AGT5037,2024-03-03T09:22:15,35,inbound,phone,dropped,,,,,false,false,,en,,Call dropped during greeting.
INT30038,CUST40037,AGT5038,2024-03-03T13:55:14,346,inbound,chat,completed,3.9,0.48,Can I get a copy of my last loan statement?,loan_statement,true,false,,en,Received my document quickly.,Provided requested loan statement.
INT30039,CUST40038,AGT5039,2024-03-04T15:20:34,119,inbound,phone,completed,4.1,0.61,How do I check points on my credit card?,"rewards,credit_card",true,false,,en,Thanks for explaining the rewards.,Explained credit card rewards program in detail.
INT30040,CUST40039,AGT5040,2024-03-05T09:10:10,75,outbound,phone,abandoned,,,,,false,false,,es,,"Llamada abandonada, sin respuesta del cliente."
INT30041,CUST40040,AGT5041,2024-03-05T13:16:52,198,inbound,chat,completed,3.6,0.29,How do I change my ATM pin?,"atm,security",true,false,,en,Clear instructions.,Explained ATM pin change process to customer.
